Wall time,Step,Value
1718023852.2198577,0,0.1945825219154358
1718029280.810526,1,0.24004468321800232
1718034685.4985862,2,0.25104719400405884
1718040131.545005,3,0.262217253446579
1718045665.938563,4,0.27573302388191223
1718051387.9330795,5,0.32694777846336365
1718057079.3098142,6,0.3257749378681183
1718062810.9715233,7,0.3333147168159485
1718068548.395541,8,0.3429209589958191
1718074327.0472605,9,0.3440379798412323
1718080097.0089135,10,0.3663780987262726
1718085872.4228046,11,0.37687796354293823
1718091642.0364785,12,0.3746439516544342
1718097412.0547106,13,0.38637253642082214
1718103161.7610922,14,0.38419434428215027
1718108908.1929307,15,0.39882713556289673
1718114655.9932039,16,0.39380061626434326
1718120413.5176919,17,0.3972633481025696
